id_comment,text,parentId,publishedAt,totalReplyCount,videoId,videoTitle,ChannelSource,VideoPublication,empathy,humor,macabre,context,misogyny,intersectionality,aggressiveness,Responsibility,target,intersectionality_notes,aggressiveness_perpetrator,aggressiveness_victim,aggressiveness_social,aggressiveness_media,aggressiveness_rape,resp_perpetator,resp_victim,resp_social,resp_media,resp_rape
Ugw4RtTH0aGIq_DRxyt4AaABAg.9ZxlW0S577Y9_9IuJeX45p,"<USER> sì ma in questo caso, dicono, non è certo che la morte sia recente, potrebbe risalire a parecchio tempo fa e questo non facilita davvero...",Ugw4RtTH0aGIq_DRxyt4AaABAg,2022-03-29T10:26:25Z,,https://www.youtube.com/watch?v=pLuZUsVac5I,Quattro sacchi nel dirupo il cadavere è sconosciuto,Storie Italiane - Rai,24/03/2022,0,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgwCEkY16EzWa6M-Mtp4AaABAg.9_A8zR0ypby9_H2rCK_dQQ,Ted Wilson 😤che rabbia,UgwCEkY16EzWa6M-Mtp4AaABAg,2022-04-01T10:40:06Z,,https://www.youtube.com/watch?v=1__fr0d1pRw,"Brescia, Carol Maltesi uccisa e fatta a pezzi nel Bresciano",La Vita in Diretta - Rai,29/03/2022,0,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Ugz-nH1yRlnvjnV3bZl4AaABAg,Un essere malvagio che merita almeno cento anni di Carcere...povera.,,2022-06-06T21:36:33Z,0,https://www.youtube.com/watch?v=Ap0lDWdeDpk,"Omicidio Carol Maltesi, le dichiarazioni della mamma",La Vita in Diretta - Rai,31/03/2022,0,0,0,1,,0,1,1,,,1,0,0,0,0,1,0,0,0,0
UgwV1ia_sS9pI5zFl-V4AaABAg,Chi giudica e peggio ......e dovrebbe guardare se stesso prima di farlo!,,2022-03-31T08:15:34Z,7,https://www.youtube.com/watch?v=3uTDR8NUHk0,Tweet vergognosi sull'uccisione di Carol Maltesi,La Vita in Diretta - Rai,30/03/2022,0,0,0,1,,0,0,1,,,0,0,0,0,0,0,0,0,0,1
Ugyok8Af2HFDWaRNT6x4AaABAg.9Zqs5LIEPe79_CTyBZqmuG,"Non ho vinto niente. Povera Karol....
Rip",Ugyok8Af2HFDWaRNT6x4AaABAg,2022-03-30T16:00:47Z,,https://www.youtube.com/watch?v=BhjGZamQq1w,Orrore nel Bresciano: ritrovato cadavere di donna smembrato,Ore 14 - Rai,21/03/2022,1,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgzhQyt_oUNUzwoVLuJ4AaABAg,R.I.P. Karol ♥️💐🌹🙏🏻🙏🏻🕯️😭😭😭😭 Condoglianze alla famiglia.,,2022-12-05T14:14:50Z,1,https://www.youtube.com/watch?v=N4EJX_cR7sg,#N/A,#N/A,#N/A,1,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
Ugx1W2REJKaEbmzv28B4AaABAg,"Lei l ho aveva detto :se continui così mi fai morire , basta😅",,2022-03-30T17:56:09Z,5,https://www.youtube.com/watch?v=4920UYmW9M4,"Omicidio Carol Maltesi, il killer interrogato in carcere",La Vita in Diretta - Rai,30/03/2022,0,1,0,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgzeG6-gx0fViioVQEl4AaABAg,Mi viene da vomitare,,2022-03-31T06:45:12Z,0,https://www.youtube.com/watch?v=4920UYmW9M4,"Omicidio Carol Maltesi, il killer interrogato in carcere",La Vita in Diretta - Rai,30/03/2022,0,0,0,1,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
UgxA7czmq-3ex22-OOB4AaABAg.9_KGBQ8SVdW9a897831QV6,Castrazione chimica,UgxA7czmq-3ex22-OOB4AaABAg,2022-04-22T20:13:04Z,,https://www.youtube.com/watch?v=58EYEWKRZUk,"Omicidio Carol Maltesi, il racconto dell'orrore",La Vita in Diretta - Rai,01/04/2022,0,0,0,1,,0,1,0,,,1,0,0,0,0,0,0,0,0,0
UgyIGWX193q5oQP8wX94AaABAg,R.I.P 🙏,,2022-04-04T05:57:52Z,0,https://www.youtube.com/watch?v=kCQPCujipFQ,Lui l'ha massacrata in casa non accettava la sua libertà,Storie Italiane - Rai,01/04/2022,1,0,0,0,,0,0,0,,,0,0,0,0,0,0,0,0,0,0
