author_id,tweet_id,conversation_id,in_reply_to_tweet_id,date,txt_conv_head,txt_father,text,Subjectivity,Positivity,Negativity,Irony,Misogyny,Aggressiveness,Aggressiveness_Target,Context
_1506815232,_892467430294990851,_892466106769711105,_892466106769711105,2017-08-01T19:29:51.000Z,"Sara Di Pietrantonio, il gup: strangolata e data alle fiamme perché “rifiutava Paduano come padrone” https://t.co/ROs1WaGBRu https://t.co/x2qBrCC3LE",0,@MPenikas SPERO SI SCONTI TUTTO L'ERGASTOLO....,1,0,1,0,0,1,1,1
_836241231227326464,_892477870077075456,_892452833731239939,_892452833731239939,2017-08-01T20:11:20.000Z,"Sara Di Pietrantonio, il gup: strangolata e data alle fiamme perché “rifiutava Paduano come… https://t.co/24RTbAllf6",0,"@fattoquotidiano Ecco il fatto che io debba lavorare X mantenere in carcere sto ""personaggio"" mi fa venire voglia di espatriare !!!",1,0,1,0,0,0,,1
_3385699887,_860605159239495681,_860555543282429952,_860555543282429952,2017-05-05T21:20:33.000Z,"Uccise e bruciò la ex fidanzata, Paduano condannato all’ergastolo https://t.co/auCkuqXCDW",0,@TutteLenotizie Un esempio da seguire.,1,0,0,0,0,0,,1
_855721402787393536,_860582855331770370,_860555543282429952,_860555543282429952,2017-05-05T19:51:56.000Z,"Uccise e bruciò la ex fidanzata, Paduano condannato all’ergastolo https://t.co/auCkuqXCDW",0,@TutteLenotizie Era ora 😈,1,0,1,0,0,0,,1
_749248856,_860558516494454784,_860555543282429952,_860555543282429952,2017-05-05T18:15:13.000Z,"Uccise e bruciò la ex fidanzata, Paduano condannato all’ergastolo https://t.co/auCkuqXCDW",0,@TutteLenotizie Speriamo che ci rimanga fino all'ultimo giorno di vita.😡,1,0,1,0,0,1,1,1
_118978778,_860833402093785089,_860832719403716608,_860832719403716608,2017-05-06T12:27:31.000Z,"Sara Di Pietrantonio bruciata viva
Ergastolo per il suo ex fidanzato
La madre di lei: “non si 
 https://t.co/DzeFdMlUvH via @fattoquotidiano",0,@ferroice4no @fattoquotidiano in #Usa l'avrebbero arrostito sulla sedia elettrica!,1,0,1,0,0,1,1,1
_1179962942,_860731485439107072,_860721604031991810,_860721604031991810,2017-05-06T05:42:32.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/Y2AoFNSwCq https://t.co/58eeW5TpO6,0,@MPenikas E vedi un po'! non servirebbero neppure gli altri due gradi di giudizio,1,0,1,1,0,0,,1
_2208789310,_860723847385014272,_860721604031991810,_860721604031991810,2017-05-06T05:12:11.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/Y2AoFNSwCq https://t.co/58eeW5TpO6,0,"@MPenikas Lui (l'omicida) si è autodefinito un mostro. 
È vero! 
Direi che non c'è da aggiungere altro.",1,0,1,0,0,0,,1
_826031314621100032,_860567026095587329,_860563182456160256,_860563182456160256,2017-05-05T18:49:02.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/Y2AoFNSwCq https://t.co/VSUlTOkXGW,0,@MPenikas CERTO QUANDO S'INNAMORAno DIVENTA DIFFICILE CAPIRE IL #MOSTRO! CHE HANno DAVANTI!  DOVREBBERO CONSIGLIARSI DI PIÙ CON QUALCUno.,1,0,1,0,1,0,,1
_826031314621100032,_860566218926944258,_860563182456160256,_860563182456160256,2017-05-05T18:45:49.000Z,Sara Di Pietrantonio strangolata e data alle fiamme: l’ex fidanzato condannato all’ergastolo https://t.co/Y2AoFNSwCq https://t.co/VSUlTOkXGW,0,@MPenikas POVERA RAGAZZA. MI CHIEDO SPESSO MA'15noANNI DOVE LE TROVAno CERTI #MOSTRI! EPPURE LE DONNE SOno SENSITIVE PER NATURA. Segue.,1,0,1,0,1,0,,1
